field                                  init  asm  chat  ppl  batch  eval  gen  qcf
initial_kv_capacity                    .     .    .     .    .      .     x    .  
kivi                                   x     .    .     .    .      .     x    .  
kivi_bits                              .     .    .     .    .      .     x    .  
kivi_residual_size                     .     .    .     .    .      .     x    .  
kv_budget                              .     .    x     x    x      x     x    .  
kv_budget_ratio                        .     .    .     x    x      x     .    .  
kv_dynamic_quant                       .     .    .     .    .      .     x    .  
kv_layout                              .     .    .     .    .      .     x    .  
kv_offload                             x     .    .     .    .      .     x    .  
kv_type                                .     .    .     x    x      x     x    .  
max_iterations                         .     .    .     .    x      .     .    .  
max_prefetch_depth                     .     .    x     .    .      .     x    .  
max_seq_len                            x     .    x     x    x      .     x    .  
memory_threshold_mb                    .     .    x     .    .      .     x    .  
min_kv_cache                           .     .    .     .    .      .     x    .  
model_path                             x     .    .     x    .      x     x    .  
no_gpu_plan                            .     .    .     .    .      .     x    .  
no_prefill_ws                          .     .    .     .    .      .     .    .  
num_tokens                             .     .    .     .    x      .     x    .  
offload_path                           .     .    .     .    .      .     x    .  
ppl                                    x     .    .     x    .      .     x    .  
ppl_measure_prefill_tokens             .     .    .     x    .      .     .    .  
ppl_nll_csv                            .     .    .     x    .      .     .    .  
ppl_prefill_tokens                     .     .    .     x    .      .     .    .  
ppl_swap_at_token                      .     .    .     x    .      .     .    .  
ppl_swap_per_tick                      .     .    .     x    .      .     .    .  
ppl_swap_ratio                         .     .    .     x    .      .     .    .  
ppl_warmup_swap                        .     .    .     x    .      .     .    .  
prefill_chunk_size                     .     .    .     .    x      .     x    .  
prefill_cpu_chunk_size                 x     .    .     .    x      .     x    .  
prefill_yield_ms                       .     .    .     .    x      .     x    .  
profile                                x     x    .     .    .      .     x    .  
profile_dir                            .     .    .     .    .      .     x    .  
profile_events                         x     x    .     .    .      .     x    .  
profile_interval                       .     .    .     .    .      .     x    .  
profile_per_head                       .     .    .     .    .      .     x    .  
profile_probes                         .     .    .     .    .      .     x    .  
prompt                                 .     .    .     .    .      .     x    .  
prompt_batch                           x     .    .     .    x      .     x    .  
prompt_batch_loop                      .     .    .     .    x      .     .    .  
prompt_file                            .     .    .     .    .      .     x    .  
protected_prefix                       .     .    x     .    .      .     x    .  
qcf_betas                              .     .    .     .    .      .     .    .  
qcf_defensive_taus                     .     .    .     .    .      .     .    .  
qcf_dump                               .     x    .     x    .      x     x    .  
qcf_mode                               .     .    .     .    x      x     x    .  
qcf_sample_layers                      .     .    .     .    x      x     x    .  
qcf_topk_values                        .     .    .     .    .      .     .    .  
qcf_trajectory                         .     .    .     .    .      x     .    .  
qcf_warmup_tokens                      .     .    .     x    .      x     x    .  
qnn_allow_fallback                     x     .    .     .    .      .     .    .  
qnn_graph_cache_prebuild               x     .    .     .    .      .     .    .  
quantize_lm_head                       x     .    .     .    .      .     .    .  
repetition_penalty                     x     x    .     .    .      .     x    .  
repetition_window                      x     .    x     .    .      .     x    .  
resilience_prealloc_switch             x     .    .     .    .      .     x    .  
resilience_transport                   .     .    .     .    .      .     x    .  
secondary_dtype                        x     .    .     .    .      .     .    .  
secondary_gguf                         x     .    .     x    .      x     x    .  
secondary_layout                       x     .    .     .    .      .     .    .  
sink_size                              .     .    x     .    .      .     x    .  
skip_layers                            .     .    .     x    .      x     x    .  
skip_ratio                             .     x    .     x    .      x     x    .  
streaming_window                       .     .    x     .    .      .     x    .  
swap_algorithm                         x     .    .     .    .      .     .    .  
swap_async_dispatch                    .     .    .     .    .      .     x    .  
swap_delay_tokens                      .     .    .     .    .      .     x    .  
swap_dir                               .     .    .     .    .      .     x    .  
swap_dynamic_k                         .     .    .     .    .      .     x    .  
swap_incremental_per_tick              x     .    .     .    .      .     x    .  
swap_intra_forward                     x     x    .     .    .      .     x    .  
swap_layer_immediate                   x     x    .     .    .      .     x    .  
swap_no_throttle                       x     .    .     .    .      .     .    .  
swap_only_layers                       x     .    .     .    .      .     .    .  
swap_phase_aware                       x     x    .     .    .      .     x    .  
swap_phase_aware_chunk_mb              .     .    .     .    .      .     x    .  
swap_phase_aware_max_chunks_per_token  .     .    .     .    .      .     x    .  
swap_pool_slots                        .     .    .     .    .      .     x    .  
swap_probing_growth                    .     .    .     .    .      .     x    .  
swap_probing_k                         .     .    .     .    .      .     x    .  
swap_probing_window                    .     .    .     .    .      .     x    .  
swap_zero_copy                         .     .    .     .    .      .     x    .  
switch_threshold                       .     .    .     .    .      .     x    .  
system_prompt                          .     .    x     .    .      .     x    .  
target_tbt                             .     .    .     .    .      .     x    .  
tbt_log                                .     .    .     .    .      .     x    .  
temperature                            x     .    .     .    .      .     x    .  
tensor_partition                       x     x    .     .    .      .     x    .  
threads                                x     .    .     .    .      .     .    .  
throttle_delay_ms                      .     .    .     .    .      .     x    .  
tokenizer_path                         .     .    .     .    .      .     x    .  
top_k                                  x     .    .     .    .      .     x    .  
top_p                                  x     .    .     .    .      .     x    .  
use_rayon                              x     .    .     .    .      .     .    .  
weight_dtype                           x     .    .     .    .      .     .    .  
zero_copy                              x     .    .     .    .      .     .    .  
