position,score,token_type
167,0.058718,generated
168,0.058519,generated
169,0.058223,generated
170,0.057947,generated
171,0.057768,generated
172,0.057595,generated
173,0.057428,generated
174,0.057165,generated
175,0.056919,generated
176,0.056769,generated
177,0.056623,generated
178,0.056483,generated
179,0.056246,generated
180,0.056025,generated
181,0.055899,generated
182,0.055777,generated
183,0.055658,generated
184,0.055443,generated
185,0.055244,generated
186,0.055138,generated
187,0.055035,generated
188,0.054935,generated
189,0.054739,generated
190,0.054558,generated
191,0.054468,generated
192,0.054382,generated
193,0.054298,generated
194,0.054118,generated
195,0.053952,generated
196,0.053877,generated
197,0.053805,generated
198,0.053735,generated
199,0.053568,generated
200,0.053416,generated
201,0.053354,generated
202,0.053294,generated
203,0.053236,generated
204,0.053081,generated
205,0.052941,generated
206,0.052889,generated
207,0.052840,generated
208,0.052792,generated
209,0.052648,generated
210,0.052518,generated
211,0.052476,generated
212,0.052436,generated
213,0.052398,generated
214,0.052263,generated
215,0.052142,generated
216,0.052109,generated
217,0.052077,generated
218,0.052046,generated
219,0.051920,generated
220,0.051808,generated
221,0.051782,generated
222,0.051757,generated
223,0.051734,generated
224,0.051615,generated
225,0.051510,generated
226,0.051491,generated
227,0.051473,generated
228,0.051456,generated
229,0.051344,generated
230,0.051245,generated
231,0.051232,generated
232,0.051220,generated
233,0.051209,generated
234,0.051103,generated
235,0.051010,generated
236,0.051002,generated
237,0.050996,generated
238,0.050990,generated
239,0.050890,generated
240,0.050802,generated
241,0.050799,generated
242,0.050797,generated
243,0.050796,generated
244,0.050701,generated
245,0.050618,generated
246,0.050620,generated
247,0.050623,generated
248,0.050626,generated
249,0.050535,generated
250,0.050457,generated
251,0.050463,generated
252,0.050469,generated
253,0.050477,generated
254,0.050390,generated
255,0.050316,generated
256,0.050325,generated
257,0.050336,generated
258,0.050347,generated
259,0.050264,generated
260,0.050193,generated
261,0.050207,generated
262,0.050220,generated
263,0.050235,generated
264,0.050155,generated
265,0.050088,generated
266,0.050105,generated
267,0.050122,generated
268,0.050139,generated
269,0.050063,generated
270,0.049999,generated
271,0.050019,generated
272,0.050039,generated
273,0.050059,generated
274,0.049986,generated
275,0.049925,generated
276,0.049947,generated
277,0.049970,generated
278,0.049993,generated
279,0.049923,generated
280,0.049864,generated
281,0.049889,generated
282,0.049914,generated
283,0.049940,generated
284,0.049872,generated
285,0.049817,generated
286,0.049844,generated
287,0.049871,generated
288,0.049899,generated
289,0.049834,generated
290,0.049781,generated
291,0.049810,generated
292,0.049840,generated
293,0.049870,generated
294,0.049808,generated
295,0.049757,generated
296,0.049788,generated
297,0.049820,generated
298,0.049852,generated
299,0.049792,generated
300,0.049743,generated
301,0.049776,generated
302,0.049810,generated
303,0.049844,generated
304,0.049786,generated
305,0.049739,generated
306,0.049774,generated
307,0.049810,generated
308,0.049846,generated
309,0.049790,generated
310,0.049745,generated
311,0.049782,generated
312,0.049819,generated
313,0.049857,generated
314,0.049802,generated
315,0.049759,generated
316,0.049798,generated
317,0.049837,generated
318,0.049876,generated
319,0.049824,generated
320,0.049782,generated
321,0.049823,generated
322,0.049863,generated
323,0.049904,generated
324,0.049853,generated
325,0.049814,generated
326,0.049856,generated
327,0.049898,generated
328,0.049940,generated
329,0.049891,generated
330,0.049853,generated
331,0.049896,generated
332,0.049940,generated
333,0.049983,generated
334,0.049936,generated
335,0.049899,generated
336,0.049944,generated
337,0.049989,generated
338,0.050034,generated
339,0.049988,generated
340,0.049953,generated
341,0.049999,generated
342,0.050045,generated
343,0.050092,generated
344,0.050047,generated
345,0.050013,generated
346,0.050061,generated
347,0.050108,generated
348,0.050156,generated
349,0.050113,generated
350,0.050080,generated
351,0.050129,generated
352,0.050178,generated
353,0.050227,generated
354,0.050185,generated
355,0.050154,generated
356,0.050204,generated
357,0.050254,generated
358,0.050304,generated
359,0.050263,generated
360,0.050234,generated
361,0.050285,generated
362,0.050336,generated
363,0.050387,generated
364,0.050348,generated
365,0.050320,generated
366,0.050372,generated
367,0.050424,generated
368,0.050477,generated
369,0.050439,generated
370,0.050411,generated
371,0.050465,generated
372,0.050518,generated
373,0.050572,generated
374,0.050535,generated
375,0.050509,generated
376,0.050563,generated
377,0.050618,generated
378,0.050672,generated
379,0.050637,generated
380,0.050612,generated
381,0.050668,generated
382,0.050723,generated
383,0.050779,generated
384,0.050745,generated
385,0.050721,generated
386,0.050777,generated
387,0.050834,generated
388,0.050891,generated
389,0.050858,generated
390,0.050835,generated
391,0.050893,generated
392,0.050950,generated
393,0.051008,generated
394,0.050976,generated
395,0.050954,generated
396,0.051013,generated
397,0.051072,generated
398,0.051131,generated
399,0.051100,generated
400,0.051079,generated
401,0.051139,generated
402,0.051199,generated
403,0.051259,generated
404,0.051229,generated
405,0.051210,generated
406,0.051270,generated
407,0.051331,generated
408,0.051392,generated
409,0.051363,generated
410,0.051345,generated
411,0.051407,generated
412,0.051468,generated
413,0.051530,generated
414,0.051503,generated
415,0.051485,generated
416,0.051548,generated
417,0.051611,generated
418,0.051674,generated
419,0.051648,generated
420,0.051631,generated
421,0.051695,generated
422,0.051759,generated
423,0.051823,generated
424,0.051797,generated
425,0.051782,generated
426,0.051847,generated
427,0.051912,generated
428,0.051976,generated
429,0.051952,generated
430,0.051938,generated
431,0.052004,generated
432,0.052070,generated
433,0.052135,generated
434,0.052113,generated
435,0.052099,generated
436,0.052166,generated
437,0.052233,generated
438,0.052300,generated
439,0.052278,generated
440,0.052266,generated
441,0.052333,generated
442,0.052401,generated
443,0.052469,generated
444,0.052449,generated
445,0.052437,generated
446,0.052506,generated
447,0.052575,generated
448,0.052644,generated
449,0.052624,generated
450,0.052614,generated
451,0.052684,generated
452,0.052754,generated
453,0.052824,generated
454,0.052805,generated
455,0.052796,generated
456,0.052867,generated
457,0.052938,generated
458,0.053009,generated
459,0.052991,generated
460,0.052983,generated
461,0.053055,generated
462,0.053127,generated
463,0.053199,generated
464,0.053183,generated
465,0.053176,generated
466,0.053249,generated
467,0.053322,generated
468,0.053395,generated
469,0.053380,generated
470,0.053374,generated
471,0.053448,generated
472,0.053522,generated
473,0.053596,generated
474,0.053583,generated
475,0.053578,generated
476,0.053653,generated
477,0.053728,generated
478,0.053803,generated
479,0.053791,generated
480,0.053787,generated
481,0.053863,generated
482,0.053939,generated
483,0.054016,generated
484,0.054004,generated
485,0.054001,generated
486,0.054079,generated
487,0.054156,generated
488,0.054234,generated
489,0.054224,generated
490,0.054222,generated
491,0.054300,generated
492,0.054379,generated
493,0.054458,generated
494,0.054449,generated
495,0.054448,generated
496,0.054528,generated
497,0.054607,generated
498,0.054687,generated
499,0.054680,generated
500,0.054680,generated
501,0.054761,generated
502,0.054842,generated
503,0.054923,generated
504,0.054917,generated
505,0.054918,generated
506,0.055000,generated
507,0.055083,generated
508,0.055165,generated
509,0.055160,generated
510,0.055162,generated
511,0.055246,generated
512,0.055329,generated
513,0.055413,generated
514,0.055409,generated
515,0.055413,generated
516,0.055498,generated
517,0.055582,generated
518,0.055667,generated
519,0.055665,generated
520,0.055670,generated
521,0.055756,generated
522,0.055842,generated
523,0.055928,generated
524,0.055927,generated
525,0.055933,generated
526,0.056020,generated
527,0.056108,generated
528,0.056195,generated
529,0.056196,generated
530,0.056203,generated
531,0.056292,generated
532,0.056380,generated
533,0.056469,generated
534,0.056471,generated
535,0.056480,generated
536,0.056570,generated
537,0.056660,generated
538,0.056750,generated
539,0.056753,generated
540,0.056764,generated
541,0.056855,generated
542,0.056946,generated
543,0.057038,generated
544,0.057043,generated
545,0.057054,generated
546,0.057147,generated
547,0.057240,generated
548,0.057333,generated
549,0.057340,generated
550,0.057352,generated
551,0.057447,generated
552,0.057541,generated
553,0.057636,generated
554,0.057644,generated
555,0.057658,generated
556,0.057754,generated
557,0.057850,generated
558,0.057946,generated
559,0.057955,generated
560,0.057971,generated
561,0.058068,generated
562,0.058166,generated
563,0.058264,generated
564,0.058275,generated
565,0.058292,generated
566,0.058391,generated
567,0.058490,generated
568,0.058590,generated
569,0.058602,generated
570,0.058621,generated
571,0.058722,generated
572,0.058822,generated
573,0.058923,generated
574,0.058938,generated
575,0.058958,generated
576,0.059061,generated
577,0.059163,generated
578,0.059266,generated
579,0.059282,generated
580,0.059304,generated
581,0.059408,generated
582,0.059512,generated
583,0.059617,generated
584,0.059635,generated
585,0.059658,generated
586,0.059764,generated
587,0.059870,generated
588,0.059976,generated
589,0.059997,generated
590,0.060022,generated
591,0.060129,generated
592,0.060237,generated
593,0.060345,generated
594,0.060367,generated
595,0.060394,generated
596,0.060504,generated
597,0.060614,generated
598,0.060724,generated
599,0.060747,generated
600,0.060776,generated
601,0.060888,generated
602,0.060999,generated
603,0.061111,generated
604,0.061137,generated
605,0.061168,generated
606,0.061281,generated
607,0.061395,generated
608,0.061509,generated
609,0.061537,generated
610,0.061570,generated
611,0.061685,generated
612,0.061801,generated
613,0.061917,generated
614,0.061947,generated
615,0.061981,generated
616,0.062099,generated
617,0.062217,generated
618,0.062335,generated
619,0.062368,generated
620,0.062404,generated
621,0.062524,generated
622,0.062644,generated
623,0.062764,generated
624,0.062799,generated
625,0.062838,generated
626,0.062960,generated
627,0.063082,generated
628,0.063205,generated
629,0.063241,generated
630,0.063282,generated
631,0.063407,generated
632,0.063531,generated
633,0.063656,generated
634,0.063696,generated
635,0.063739,generated
636,0.063865,generated
637,0.063992,generated
638,0.064120,generated
639,0.064162,generated
640,0.064207,generated
641,0.064336,generated
642,0.064465,generated
643,0.064595,generated
644,0.064640,generated
645,0.064687,generated
646,0.064819,generated
647,0.064951,generated
648,0.065084,generated
649,0.065131,generated
650,0.065181,generated
651,0.065315,generated
652,0.065450,generated
653,0.065585,generated
654,0.065635,generated
655,0.065687,generated
656,0.065824,generated
657,0.065961,generated
658,0.066099,generated
659,0.066152,generated
660,0.066207,generated
661,0.066347,generated
662,0.066487,generated
663,0.066628,generated
664,0.066683,generated
665,0.066741,generated
666,0.066884,generated
667,0.067027,generated
668,0.067170,generated
669,0.067229,generated
670,0.067289,generated
671,0.067435,generated
672,0.067581,generated
673,0.067728,generated
674,0.067789,generated
675,0.067853,generated
676,0.068001,generated
677,0.068151,generated
678,0.068300,generated
679,0.068365,generated
680,0.068431,generated
681,0.068583,generated
682,0.068736,generated
683,0.068889,generated
684,0.068956,generated
685,0.069026,generated
686,0.069181,generated
687,0.069337,generated
688,0.069493,generated
689,0.069564,generated
690,0.069637,generated
691,0.069796,generated
692,0.069955,generated
693,0.070114,generated
694,0.070189,generated
695,0.070265,generated
696,0.070427,generated
697,0.070590,generated
698,0.070753,generated
699,0.070831,generated
700,0.070911,generated
701,0.071077,generated
702,0.071243,generated
703,0.071410,generated
704,0.071492,generated
705,0.071575,generated
706,0.071744,generated
707,0.071914,generated
708,0.072085,generated
709,0.072171,generated
710,0.072258,generated
711,0.072431,generated
712,0.072605,generated
713,0.072780,generated
714,0.072870,generated
715,0.072960,generated
716,0.073138,generated
717,0.073316,generated
718,0.073494,generated
719,0.073588,generated
720,0.073683,generated
721,0.073864,generated
722,0.074046,generated
723,0.074229,generated
724,0.074327,generated
725,0.074427,generated
726,0.074612,generated
727,0.074799,generated
728,0.074986,generated
729,0.075088,generated
730,0.075192,generated
731,0.075382,generated
732,0.075573,generated
733,0.075764,generated
734,0.075872,generated
735,0.075980,generated
736,0.076174,generated
737,0.076370,generated
738,0.076566,generated
739,0.076678,generated
740,0.076791,generated
741,0.076990,generated
742,0.077190,generated
743,0.077391,generated
744,0.077508,generated
745,0.077626,generated
746,0.077830,generated
747,0.078035,generated
748,0.078241,generated
749,0.078363,generated
750,0.078486,generated
751,0.078696,generated
752,0.078906,generated
753,0.079117,generated
754,0.079244,generated
755,0.079372,generated
756,0.079587,generated
757,0.079803,generated
758,0.080019,generated
759,0.080152,generated
760,0.080286,generated
761,0.080506,generated
762,0.080727,generated
763,0.080949,generated
764,0.081087,generated
765,0.081227,generated
766,0.081452,generated
767,0.081679,generated
768,0.081907,generated
769,0.082051,generated
770,0.082197,generated
771,0.082428,generated
772,0.082661,generated
773,0.082895,generated
774,0.083045,generated
775,0.083197,generated
776,0.083434,generated
777,0.083673,generated
778,0.083913,generated
779,0.084070,generated
780,0.084228,generated
781,0.084472,generated
782,0.084717,generated
783,0.084963,generated
784,0.085127,generated
785,0.085292,generated
786,0.085542,generated
787,0.085794,generated
788,0.086047,generated
789,0.086218,generated
790,0.086389,generated
791,0.086647,generated
792,0.086905,generated
793,0.087165,generated
794,0.087343,generated
795,0.087521,generated
796,0.087786,generated
797,0.088052,generated
798,0.088319,generated
799,0.088504,generated
800,0.088690,generated
801,0.088962,generated
802,0.089236,generated
803,0.089510,generated
804,0.089703,generated
805,0.089897,generated
806,0.090176,generated
807,0.090457,generated
808,0.090740,generated
809,0.090941,generated
810,0.091142,generated
811,0.091430,generated
812,0.091719,generated
813,0.092010,generated
814,0.092219,generated
815,0.092429,generated
816,0.092725,generated
817,0.093023,generated
818,0.093322,generated
819,0.093539,generated
820,0.093758,generated
821,0.094063,generated
822,0.094369,generated
823,0.094677,generated
824,0.094903,generated
825,0.095131,generated
826,0.095445,generated
827,0.095760,generated
828,0.096077,generated
829,0.096313,generated
830,0.096551,generated
831,0.096874,generated
832,0.097198,generated
833,0.097525,generated
834,0.097770,generated
835,0.098018,generated
836,0.098351,generated
837,0.098685,generated
838,0.099022,generated
839,0.099277,generated
840,0.099534,generated
841,0.099878,generated
842,0.100222,generated
843,0.100569,generated
844,0.100835,generated
845,0.101103,generated
846,0.101457,generated
847,0.101812,generated
848,0.102170,generated
849,0.102447,generated
850,0.102726,generated
851,0.103090,generated
852,0.103457,generated
853,0.103826,generated
854,0.104114,generated
855,0.104405,generated
856,0.104781,generated
857,0.105159,generated
858,0.105540,generated
859,0.105840,generated
860,0.106142,generated
861,0.106530,generated
862,0.106921,generated
863,0.107313,generated
864,0.107626,generated
865,0.107941,generated
866,0.108341,generated
867,0.108744,generated
868,0.109149,generated
869,0.109475,generated
870,0.109803,generated
871,0.110216,generated
872,0.110632,generated
873,0.111051,generated
874,0.111390,generated
875,0.111731,generated
876,0.112158,generated
877,0.112588,generated
878,0.113020,generated
879,0.113373,generated
880,0.113728,generated
881,0.114170,generated
882,0.114614,generated
883,0.115060,generated
884,0.115428,generated
885,0.115798,generated
886,0.116254,generated
887,0.116713,generated
888,0.117174,generated
889,0.117557,generated
890,0.117943,generated
891,0.118414,generated
892,0.118888,generated
893,0.119366,generated
894,0.119764,generated
895,0.120166,generated
896,0.120653,generated
897,0.121144,generated
898,0.121637,generated
899,0.122052,generated
900,0.122470,generated
901,0.122975,generated
902,0.123482,generated
903,0.123993,generated
904,0.124425,generated
905,0.124861,generated
906,0.125382,generated
907,0.125907,generated
908,0.126436,generated
909,0.126886,generated
910,0.127340,generated
911,0.127880,generated
912,0.128423,generated
913,0.128970,generated
914,0.129439,generated
915,0.129912,generated
916,0.130471,generated
917,0.131034,generated
918,0.131600,generated
919,0.132089,generated
920,0.132581,generated
921,0.133160,generated
922,0.133743,generated
923,0.134330,generated
924,0.134839,generated
925,0.135352,generated
926,0.135952,generated
927,0.136555,generated
928,0.137163,generated
929,0.137694,generated
930,0.138229,generated
931,0.138850,generated
932,0.139476,generated
933,0.140106,generated
934,0.140659,generated
935,0.141216,generated
936,0.141860,generated
937,0.142509,generated
938,0.143161,generated
939,0.143738,generated
940,0.144319,generated
941,0.144987,generated
942,0.145659,generated
943,0.146336,generated
944,0.146937,generated
945,0.147543,generated
946,0.148235,generated
947,0.148932,generated
948,0.149635,generated
949,0.150261,generated
950,0.150893,generated
951,0.151611,generated
952,0.152334,generated
953,0.153063,generated
954,0.153716,generated
955,0.154375,generated
956,0.155120,generated
957,0.155871,generated
958,0.156627,generated
959,0.157308,generated
960,0.157995,generated
961,0.158768,generated
962,0.159548,generated
963,0.160333,generated
964,0.161043,generated
965,0.161759,generated
966,0.162562,generated
967,0.163372,generated
968,0.164187,generated
969,0.164928,generated
970,0.165674,generated
971,0.166509,generated
972,0.167349,generated
973,0.168196,generated
974,0.168969,generated
975,0.169748,generated
976,0.170614,generated
977,0.171488,generated
978,0.172367,generated
979,0.173174,generated
980,0.173986,generated
981,0.174887,generated
982,0.175794,generated
983,0.176709,generated
984,0.177550,generated
985,0.178398,generated
986,0.179334,generated
987,0.180277,generated
988,0.181228,generated
989,0.182105,generated
990,0.182990,generated
991,0.183964,generated
992,0.184944,generated
993,0.185933,generated
994,0.186849,generated
995,0.187772,generated
996,0.188784,generated
997,0.189804,generated
998,0.190832,generated
999,0.191788,generated
1000,0.192753,generated
1001,0.193805,generated
1002,0.194867,generated
1003,0.195936,generated
1004,0.196934,generated
1005,0.197941,generated
1006,0.199036,generated
1007,0.200140,generated
1008,0.201253,generated
1009,0.202295,generated
1010,0.203346,generated
1011,0.204486,generated
1012,0.205636,generated
1013,0.206794,generated
1014,0.207882,generated
1015,0.208980,generated
1016,0.210167,generated
1017,0.211363,generated
1018,0.212569,generated
1019,0.213706,generated
1020,0.214852,generated
1021,0.216088,generated
1022,0.217334,generated
1023,0.218590,generated
